a_lua_i,e_lua_i,M0,inc_lua_i,status,dist_min,t_periapsis,dentro_alerta,dentro_hill,dentro_forte
1.45,0.6,315,10,ESTAVEL,0.0016470809645526391,42945.17507332412,True,True,True
1.45,0.6,315,20,ESTAVEL,0.004443695987830456,8646.410946442824,True,True,True
1.5,0.38,0,0,COLISAO,4.3655887330390244e-05,5572.051063807147,True,True,True
1.5,0.38,0,10,ESTAVEL,0.000866076947555395,39074.742087383675,True,True,True
1.5,0.38,0,20,ESTAVEL,0.00456123426276844,8081.035093753943,True,True,True
1.5,0.38,45,0,COLISAO,4.53224836731124e-05,5713.013200042783,True,True,True
1.5,0.38,45,10,ESTAVEL,0.0009653570879797986,36435.560454959326,True,True,True
1.5,0.38,45,20,ESTAVEL,0.005555487847008113,41468.34765653334,True,True,False
1.5,0.38,90,0,COLISAO,0.000596712969249098,1561.0355173699113,True,True,True
1.5,0.38,90,10,ESTAVEL,0.001774222585981462,39385.51702754155,True,True,True
1.5,0.38,90,20,ESTAVEL,0.0031146839416399874,38797.892043564476,True,True,True
1.5,0.38,135,0,COLISAO,0.00011822723576990957,2563.8460973741385,True,True,True
1.5,0.38,135,10,ESTAVEL,0.004179291224862383,13157.10630481375,True,True,True
1.5,0.38,135,20,ESTAVEL,0.0030117711391516233,7741.902219862729,True,True,True
1.5,0.38,180,0,COLISAO,0.0002083637385032715,990.5998671260093,True,True,True
1.5,0.38,180,10,ESTAVEL,0.0010333597490897442,38428.176184431155,True,True,True
1.5,0.38,180,20,ESTAVEL,0.0029889908645283772,41416.97301613144,True,True,True
1.5,0.38,225,0,COLISAO,0.0009428093188718694,1828.5199913418016,True,True,True
1.5,0.38,225,10,ESTAVEL,0.000891214102882164,32655.374122309946,True,True,True
1.5,0.38,225,20,ESTAVEL,0.0021523271980334875,40985.894460079624,True,True,True
1.5,0.38,270,0,COLISAO,4.5006345910597484e-05,10687.292602323754,True,True,True
1.5,0.38,270,10,ESTAVEL,0.0036488142490864782,39111.54738429306,True,True,True
1.5,0.38,270,20,ESTAVEL,0.0023237996672213074,49951.15929829612,True,True,True
1.5,0.38,315,0,COLISAO,4.273355305326636e-05,5412.837198605212,True,True,True
1.5,0.38,315,10,ESTAVEL,0.0005578144894080463,30945.65926018023,True,True,True
1.5,0.38,315,20,ESTAVEL,0.005171836377838884,7940.022322203183,True,True,False
1.5,0.4,0,0,COLISAO,4.500952470994199e-05,33574.99209904637,True,True,True
1.5,0.4,0,10,ESTAVEL,0.005612423853964867,6261.801099300351,True,True,False
1.5,0.4,0,20,ESTAVEL,0.0038940132602379896,8321.9222777427,True,True,True
1.5,0.4,45,0,COLISAO,6.459941708172369e-05,9297.826492274735,True,True,True
1.5,0.4,45,10,ESTAVEL,0.0030606496587696624,23907.927853238783,True,True,True
1.5,0.4,45,20,ESTAVEL,0.004336953767010003,8584.916770437318,True,True,True
1.5,0.4,90,0,COLISAO,0.00012884245129322718,3790.402215306726,True,True,True
1.5,0.4,90,10,ESTAVEL,0.003932642499356068,23079.8785547047,True,True,True
1.5,0.4,90,20,ESTAVEL,0.0029654807535461247,14837.22326574584,True,True,True
1.5,0.4,135,0,COLISAO,0.00010174641022642214,8622.608431491573,True,True,True
1.5,0.4,135,10,ESTAVEL,0.0039117364247151926,13132.219114298965,True,True,True
1.5,0.4,135,20,ESTAVEL,0.0010057563175365715,8537.968009054948,True,True,True
1.5,0.4,180,0,COLISAO,4.4053857951861505e-05,9863.687838308291,True,True,True
1.5,0.4,180,10,ESTAVEL,0.0025895706966792506,31082.65055980151,True,True,True
1.5,0.4,180,20,ESTAVEL,0.004821816776470909,30235.50264983751,True,True,True
1.5,0.4,225,0,COLISAO,0.00016130624785718096,9299.64534269747,True,True,True
1.5,0.4,225,10,ESTAVEL,0.008639771989385052,31263.5880256266,True,True,False
1.5,0.4,225,20,ESTAVEL,0.0010326378358141825,14961.674868527967,True,True,True
1.5,0.4,270,0,COLISAO,4.314555963054182e-05,37338.362412727714,True,True,True
1.5,0.4,270,10,ESTAVEL,0.00720866493002952,5936.895795207286,True,True,False
1.5,0.4,270,20,ESTAVEL,0.0024539072211641412,8478.94025649544,True,True,True
1.5,0.4,315,0,COLISAO,4.552745585416343e-05,4825.519480831369,True,True,True
1.5,0.4,315,10,ESTAVEL,0.002450234788658467,49423.520198319726,True,True,True
1.5,0.4,315,20,ESTAVEL,0.005788346051261567,14910.78436840669,True,True,False
1.5,0.43,0,0,COLISAO,0.0007162253665383073,7549.050204635642,True,True,True
1.5,0.43,0,10,ESTAVEL,0.002026349936969707,46115.76573256926,True,True,True
1.5,0.43,0,20,ESTAVEL,0.008253014032139454,13251.476091536359,True,True,False
