a_lua_i,e_lua_i,M0,inc_lua_i,status,dist_min,t_periapsis,dentro_alerta,dentro_hill,dentro_forte
1.7,0.43,180,10,ESTAVEL,0.0061503026365323015,3320.8853338211347,True,True,False
1.7,0.43,180,20,ESTAVEL,0.004877227537829329,4753.756417858204,True,True,True
1.7,0.43,225,0,COLISAO,0.0012249077479454648,21431.577078608672,True,True,True
1.7,0.43,225,10,ESTAVEL,0.0024371729531720526,3291.8238133462714,True,True,True
1.7,0.43,225,20,ESTAVEL,0.008473813830945877,19581.385159765898,True,True,False
1.7,0.43,270,0,COLISAO,0.00017565632081955758,7555.93821038588,True,True,True
1.7,0.43,270,10,ESTAVEL,0.006077694958809227,11441.254280437914,True,True,False
1.7,0.43,270,20,ESTAVEL,0.004615500289640737,12928.448074362468,True,True,True
1.7,0.43,315,0,COLISAO,0.00043814435303043134,590.6559367144248,True,True,True
1.7,0.43,315,10,ESTAVEL,0.002135013931465049,15871.808451220684,True,True,True
1.7,0.43,315,20,ESTAVEL,0.00016460225905933848,19624.40846720133,True,True,True
1.7,0.45,0,0,COLISAO,0.00030113142237444293,14050.370809542714,True,True,True
1.7,0.45,0,10,ESTAVEL,0.0030656695767614425,27611.16936090293,True,True,True
1.7,0.45,0,20,ESTAVEL,0.0018068477492784773,37243.16822662086,True,True,True
1.7,0.45,45,0,EJETADA,0.00017517785127648856,4085.4806956001967,True,True,True
1.7,0.45,45,10,ESTAVEL,0.0011072779401139355,24822.692394222584,True,True,True
1.7,0.45,45,20,ESTAVEL,0.0031135896303056505,11504.537012339899,True,True,True
1.7,0.45,90,0,COLISAO,5.713105582966417e-05,937.5678249677459,True,True,True
1.7,0.45,90,10,ESTAVEL,0.002074288824180412,4062.817194293278,True,True,True
1.7,0.45,90,20,ESTAVEL,0.0008254466258576795,11368.528129417375,True,True,True
1.7,0.45,135,0,EJETADA,9.895560257857409e-05,1398.0586235374917,True,True,True
1.7,0.45,135,10,ESTAVEL,0.0017656432618002303,25630.713879339684,True,True,True
1.7,0.45,135,20,ESTAVEL,0.0023125654016188436,11434.032521541716,True,True,True
1.7,0.45,180,0,EJETADA,4.479564639408654e-05,6430.247526908505,True,True,True
1.7,0.45,180,10,ESTAVEL,0.00483728189221682,10848.421634520668,True,True,True
1.7,0.45,180,20,ESTAVEL,0.004670853296192499,5824.814222400457,True,True,True
1.7,0.45,225,0,COLISAO,0.00022633831013482196,2946.3325792166434,True,True,True
1.7,0.45,225,10,ESTAVEL,0.002077496420916078,25763.89548183227,True,True,True
1.7,0.45,225,20,ESTAVEL,0.004809790733790124,36165.86528610416,True,True,True
1.7,0.45,270,0,COLISAO,0.0007289077393658322,1784.4340544648824,True,True,True
1.7,0.45,270,10,ESTAVEL,0.002794781161428743,41552.87575768942,True,True,True
1.7,0.45,270,20,ESTAVEL,0.008982877615163939,35356.88134314772,True,True,False
1.7,0.45,315,0,COLISAO,4.531788200220344e-05,4537.16279596336,True,True,True
1.7,0.45,315,10,ESTAVEL,0.005325376775135533,10433.098517910077,True,True,False
1.7,0.45,315,20,ESTAVEL,0.002333546185256893,11480.298553005745,True,True,True
1.7,0.5,0,0,COLISAO,0.0009210471492221524,90.8737370553728,True,True,True
